stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
5458,,PADRE CACIQUE DF 1804 MUSEU IBERE CAMARGO,,-30.076565,-51.243983
1856,,MONSENHOR VERAS DF 320 ,,-30.050258,-51.202297
6056,,POLONIA DF 50 FERRAMENTAS GERAIS,,-30.007011,-51.20852
5897,,EUSTAQUIO INACIO DA SILVEIRA 300 COLÉGIO,,-30.21043,-51.176729
5896,,BEIRA RIO DF PÇ. PRAÇA INACIO MARTINS DA SILVA,,-30.211864,-51.190399
188,,EUSTAQUIO INACIO DA SILVEIRA 291 ESCOLA ESTADUAL GLICÉRIO ALVES,,-30.210461,-51.176603
5994,,BEIRA RIO 175 ,,-30.210488,-51.188291
84,,BEIRA RIO DF 127 PRAÇA,,-30.210143,-51.187316
1973,,SILVADO DF 338 ,,-30.067893,-51.183995
3893,,DOM DIOGO DE SOUZA DF 36 ,,-30.010519,-51.155181
1814,,MOYSES ANTUNES DA CUNHA DF 105 FUNDOS CONDOMINIO,,-30.059421,-51.20682
6502,,DR CAIO BRANDAO DE MELLO EF EMEF VER ANTO ,,-29.980277,-51.185782
6503,,DR CAIO BRANDAO DE MELLO DF EMEF VER ANTO ,,-29.98012,-51.186117
6844,,EGIDIO PICCOLI 4 ,,-30.041529,-51.10583
6843,,BENNO MENTZ AL 1607 ,,-30.025328,-51.14659
3336,,BENNO MENTZ DF 1560 PRAÇA CABRÁLIA,,-30.024729,-51.14669
1141,,RODRIGUES DA FONSECA 2014 ,,-30.117425,-51.206425
6396,,ALBERTO PASQUALINI 398 ,,-30.029935,-51.1433
3325,,GUADALAJARA DF 155 CAMPO DE FUTEBOL,,-30.02882,-51.143546
4241,,FRANCISCO SILVEIRA BITENCOURT 565 ECOVILE,,-29.993662,-51.123756
1286,,ENG LUDOLFO BOEHL 1523 ,,-30.084182,-51.198299
3963,,PANAMERICANA DF 1190 ,,-29.998877,-51.15164
6842,,CEL FEIJO DF 1217 ,,-30.019628,-51.181494
5887,,OSWALDO PEREIRA DE FREITAS 175 ,,-30.06027,-51.162936
3144,,BENTO GONCALVES 6670 ,,-30.0662,-51.150196
4865,,BERNARDINO SILVEIRA DE AMORIM AL 658 ,,-29.985863,-51.110907
6041,,SIQUEIRA CAMPOS DF 940 ,,-30.028948,-51.23221
4657,,DELEGADO ELY CORREA PRADO 1375 ,,-30.034133,-51.106461
6838,,GABRIEL FRANCO DA LUZ EF PRAÇA ,,-29.980962,-51.123476
3440,,TEN ARY TARRAGO AL 1230 ,,-30.031495,-51.134509
6176,,ATILIO SUPERTTI 600 ,,-30.120813,-51.212524
1103,,ATILIO SUPERTTI 661 ,,-30.121222,-51.212497
6837,,LOUREIRO DA SILVA SN ,,-30.036953,-51.239561
6836,,LOUREIRO DA SILVA SN ,,-30.037,-51.239288
6835,,LOUREIRO DA SILVA SN ,,-30.037046,-51.239021
4045,,DONA ADDA MASCARENHAS DE MORAES 356 ,,-30.013811,-51.135672
4046,,DONA ADDA MASCARENHAS DE MORAES AL 389 ,,-30.013753,-51.135749
4176,,DANTE ANGELO PILLA 122 ,,-30.013488,-51.118954
1736,,TERESOPOLIS 2530 ,,-30.075906,-51.207959
826,,AFONSO ARINOS 609 ,,-30.101073,-51.235384
144,,JUCA BATISTA DF 4296 POSTO IPIRANGA,,-30.158555,-51.192403
143,,JUCA BATISTA 4128 MATIAS LOCAÇÕES,,-30.15823,-51.194094
141,,JUCA BATISTA DF 4023 CHURRASCARIA PASTORIZA,,-30.157437,-51.196185
146,,JUCA BATISTA DF 3558 ,,-30.155235,-51.199002
145,,JUCA BATISTA 3550 ,,-30.155114,-51.199033
126,,JUCA BATISTA 3207 IPANEMA BOX,,-30.152924,-51.20095
127,,JUCA BATISTA 3250 PARARIA ABC,,-30.152988,-51.200813
130,,JUCA BATISTA 3046 MERCADO VERMELHO,,-30.150749,-51.201297
129,,JUCA BATISTA 2600 ASSOCIAÇÃO,,-30.148598,-51.203066
124,,JUCA BATISTA 2420 ,,-30.147442,-51.206593
125,,JUCA BATISTA 2419 PORTO DO SOL,,-30.147516,-51.20637
1065,,JUCA BATISTA 2155 ,,-30.147263,-51.208563
1064,,JUCA BATISTA 2104 ESTOFARIA,,-30.147143,-51.208693
1051,,JUCA BATISTA DF 1680 ,,-30.145664,-51.212403
677,,JUCA BATISTA DF 1150 ,,-30.142939,-51.217149
678,,JUCA BATISTA 1120 NASA VEÍCULOS,,-30.142802,-51.217239
674,,JUCA BATISTA 940 MADEREIRA,,-30.141458,-51.219053
684,,JUCA BATISTA 494 PRÉDIO BRANCO,,-30.138134,-51.220926
683,,JUCA BATISTA 473 ,,-30.138017,-51.221066
686,,JUCA BATISTA 328 AUTO-PEÇAS,,-30.136698,-51.221779
680,,JUCA BATISTA DF 90 ,,-30.135493,-51.223618
6833,,XAVIER DE CARVALHO 247 ,,-29.994132,-51.132084
6834,,XAVIER DE CARVALHO DF 227 ,,-29.994314,-51.131827
6832,,MINAS GERAIS DF 425 ,,-29.990448,-51.127533
6578,,MINAS GERAIS 255 ,,-29.990614,-51.129206
6577,,MINAS GERAIS 226 ,,-29.990571,-51.129688
6831,,SOUZA MELO 913 ,,-29.980966,-51.126347
6830,,SOUZA MELO 910 ,,-29.980896,-51.126375
6829,,NOVECENTOS VINTE CINCO DF 1084 ,,-29.980884,-51.124204
4749,,ADELINO FERREIRA JARDIM DF 380 ,,-30.020727,-51.102907
676,,JUCA BATISTA AL 770 MANLEC,,-30.140378,-51.219774
2892,,PROF ABILIO AZAMBUJA DF 355 ,,-30.048577,-51.168705
48,,SERRARIA DF 1844 ,,-30.159406,-51.22013
3392,,MARIO MENEGHETTI 96 ,,-30.033352,-51.133811
324,,EDGAR PIRES DE CASTRO DF 3390 ,,-30.16084,-51.15984
40,,SERRARIA 2105 ,,-30.161979,-51.220058
5032,,DR JOAO DENTICE AL 819 ,,-30.162459,-51.139315
6828,,JORGE PEREIRA NUNES 1569/DF 1532 ,,-30.132814,-51.189205
5116,,JORGE PEREIRA NUNES 1610 ,,-30.134622,-51.187427
6790,,JORGE PEREIRA NUNES 5116_ESPELHADA ,,-30.134669,-51.187489
6827,,JORGE PEREIRA NUNES 1532 ,,-30.132861,-51.189045
5839,,JOAO PESSOA EF PÇA PIRATINI PRÓXIMO RUA LAURINDO,,-30.044479,-51.213687
6092,,DORIVAL CASTILHO MACHADO DF 757 ,,-30.164414,-51.194372
6091,,DORIVAL CASTILHO MACHADO 600 ,,-30.163004,-51.193573
6090,,DORIVAL CASTILHO MACHADO DF 450 ,,-30.161688,-51.192846
6089,,DORIVAL CASTILHO MACHADO DF 303 ,,-30.160398,-51.192139
6088,,DORIVAL CASTILHO MACHADO DF 147 ,,-30.15922,-51.191495
5590,,OSWALDO DE DEUS E SILVA 150 ,,-30.131178,-51.197765
4425,,SAO CAETANO 1680 ,,-30.174172,-51.066659
4423,,SAO CAETANO 1957 SITIO JOAO DE BARRO,,-30.17767,-51.067449
4351,,LUIZ CORREA DA SILVA 2010 ,,-30.216358,-51.066908
1060,,CIRINO PRUNES DF 100 ,,-30.147143,-51.21039
121,,CIRINO PRUNES 352 ,,-30.147777,-51.212959
120,,CIRINO PRUNES 546 ,,-30.148234,-51.215037
113,,SERRARIA 3300 DMLU,,-30.168942,-51.213593
109,,SERRARIA 2830 ,,-30.176302,-51.213902
1222,,AMAPA DF 1541 ,,-30.106266,-51.207025
6639,,QUIRINAS 6638_ESPELHADA ,,-30.170711,-51.080917
6824,,QUIRINAS 6635_ESPELHADA ,,-30.183249,-51.089577
6823,,EDGAR PIRES DE CASTRO 6625_ESPELHADA ,,-30.214758,-51.10658
6822,,TRES MENINAS 6619_ESPELHADA ,,-30.122011,-51.194465
6821,,GEDEON LEITE 6574_ESPELHADA ,,-30.146284,-51.175645
6820,,OTAVIANO PINTO 6564_ESPELHADA ,,-30.215832,-51.050389
6819,,SAO CAETANO 6560_ESPELHADA ,,-30.181711,-51.077647
6818,,TAQUARA 6555_ESPELHADA ,,-30.198289,-51.102152
6817,,TAQUARA 6554_ESPELHADA ,,-30.198788,-51.103194
6816,,MAURILIO FERREIRA 6536_ESPELHADA ,,-30.134299,-51.191803
6815,,MAURILIO FERREIRA 6535_ESPELHADA ,,-30.137579,-51.19465
6814,,EDGAR PIRES DE CASTRO 6477_ESPELHADA ,,-30.218365,-51.101568
6813,,QUIRINAS 6399_ESPELHADA ,,-30.182004,-51.088034
6812,,QUIRINAS 6398_ESPELHADA ,,-30.180363,-51.084786
6811,,QUIRINAS 6397_ESPELHADA ,,-30.156901,-51.082028
6810,,EDGAR PIRES DE CASTRO 6248_ESPELHADA ,,-30.207228,-51.11329
6808,,VAREJAO 6185_ESPELHADA ,,-30.230728,-51.061976
6809,,VAREJAO 6223_ESPELHADA ,,-30.221154,-51.09229
6807,,DORIVAL CASTILHO MACHADO 6092_ESPELHADA ,,-30.164375,-51.194443
6806,,DORIVAL CASTILHO MACHADO 6091_ESPELHADA ,,-30.162969,-51.193645
6805,,DORIVAL CASTILHO MACHADO 6090_ESPELHADA ,,-30.161673,-51.192929
6804,,DORIVAL CASTILHO MACHADO 6089_ESPELHADA ,,-30.16037,-51.192217
6803,,DORIVAL CASTILHO MACHADO 6088_ESPELHADA ,,-30.159181,-51.191565
6802,,JORGE PEREIRA NUNES 5948_ESPELHADA ,,-30.148149,-51.178699
6801,,COSTA GAMA 5938_ESPELHADA ,,-30.137336,-51.170221
6800,,LUIZ OTAVIO 5773_ESPELHADA ,,-30.11898,-51.160513
5762,,GEDEON LEITE 6575_ESPELHADA ,,-30.145643,-51.175901
6799,,SAO CAETANO 5753_ESPELHADA ,,-30.179929,-51.068032
6798,, 5734_ESPELHADA ,,-30.004645,-51.267423
6797,,PASSO DA TAQUARA 5730_ESPELHADA ,,-30.191288,-51.09057
6796,,QUIRINAS 5700_ESPELHADA ,,-30.152336,-51.087536
6795,,OSWALDO DE DEUS E SILVA 5590_ESPELHADA ,,-30.131132,-51.19783
6794,,ARMANDO INACIO DA SILVEIRA 5578_ESPELHADA ,,-30.220605,-51.04632
6793,,MARTINICA 5203_ESPELHADA ,,-30.16082,-51.139875
5300,,PADRE PEDRO LEONARDI 44 ACESSO TRÊS,,-30.144292,-51.125975
5201,,CAPITAO PEDROSO DF 285 ,,-30.165385,-51.149952
5196,,JUCA BATISTA DF 8455 ,,-30.190711,-51.175014
6789,,BORBA GATO-LOMBA DO PINHEIRO 4611_ESPELHADA ,,-30.105662,-51.109783
6788,,BORBA GATO-LOMBA DO PINHEIRO 4598_ESPELHADA ,,-30.107139,-51.106911
6787,,BORBA GATO-LOMBA DO PINHEIRO 4593_ESPELHADA ,,-30.106518,-51.108165
6785,,QUIRINAS 4537_ESPELHADA ,,-30.143448,-51.085608
6784,,QUIRINAS 4535_ESPELHADA ,,-30.147603,-51.08813
6783,,ARMANDO INACIO DA SILVEIRA 4465_ESPELHADA ,,-30.204273,-51.02079
6782,,ARMANDO INACIO DA SILVEIRA 4461_ESPELHADA ,,-30.206509,-51.024316
4460,,ARMANDO INACIO DA SILVEIRA 4459_ESPELHADA ,,-30.208798,-51.028059
6781,,ARMANDO INACIO DA SILVEIRA 4457_ESPELHADA ,,-30.21031,-51.029078
6780,,ARMANDO INACIO DA SILVEIRA 4455_ESPELHADA ,,-30.211631,-51.032236
4449,,ARMANDO INACIO DA SILVEIRA 4450_ESPELHADA ,,-30.214422,-51.038708
6779,,ARMANDO INACIO DA SILVEIRA 4448_ESPELHADA ,,-30.215866,-51.04035
4426,,SAO CAETANO 4425_ESPELHADA ,,-30.174107,-51.066708
4424,,SAO CAETANO 4423_ESPELHADA ,,-30.177647,-51.06737
6636,,QUIRINAS 4410_ESPELHADA ,,-30.159313,-51.079619
6637,,QUIRINAS 4407_ESPELHADA ,,-30.164047,-51.079817
6778,,QUIRINAS 4406_ESPELHADA ,,-30.166549,-51.080776
6640,,QUIRINAS 4404_ESPELHADA ,,-30.172083,-51.081445
6641,,QUIRINAS 4398_ESPELHADA ,,-30.173369,-51.081759
6777,,QUIRINAS 4397_ESPELHADA ,,-30.176638,-51.082636
6776,,EXTREMA 4395_ESPELHADA ,,-30.212045,-51.058731
6775,,EXTREMA 4393_ESPELHADA ,,-30.210787,-51.062127
6774,,LUIZ CORREA DA SILVA 4391_ESPELHADA ,,-30.211679,-51.063725
6773,,SAO CAETANO 4390_ESPELHADA ,,-30.181265,-51.073159
6772,,SAO CAETANO 4386_ESPELHADA ,,-30.187874,-51.082277
6771,,QUIRINAS 4384_ESPELHADA ,,-30.153573,-51.08624
6770,,SAO CAETANO 4382_ESPELHADA ,,-30.190078,-51.086445
6769,,SAO CAETANO 4379_ESPELHADA ,,-30.190662,-51.087319
6768,,PASSO DA TAQUARA 4378_ESPELHADA ,,-30.19181,-51.089348
6767,,PASSO DA TAQUARA 4376_ESPELHADA ,,-30.190541,-51.091813
6766,,QUIRINAS 4374_ESPELHADA ,,-30.187111,-51.094101
6765,,QUIRINAS 4373_ESPELHADA ,,-30.186049,-51.093219
6764,,PASSO DA TAQUARA 4372_ESPELHADA ,,-30.189382,-51.093711
6763,,TAQUARA 4370_ESPELHADA ,,-30.190211,-51.094497
6762,,TAQUARA 4367_ESPELHADA ,,-30.195046,-51.098788
6761,,SAO CAETANO 4366_ESPELHADA ,,-30.207924,-51.090935
6760,,TAQUARA 4360_ESPELHADA ,,-30.200575,-51.108281
6759,,EDGAR PIRES DE CASTRO 4357_ESPELHADA ,,-30.211312,-51.109668
6758,,TAQUARA 4356_ESPELHADA ,,-30.202626,-51.112425
6757,,LUIZ CORREA DA SILVA 4351_ESPELHADA ,,-30.216382,-51.066819
6755,,VAREJAO 4349_ESPELHADA ,,-30.228803,-51.066713
6754,,LUIZ CORREA DA SILVA 4342_ESPELHADA ,,-30.22743,-51.076348
6756,,LUIZ CORREA DA SILVA 4350_ESPELHADA ,,-30.223476,-51.073354
6753,,LUIZ CORREA DA SILVA 4335_ESPELHADA ,,-30.23064,-51.078444
6752,,LUIZ CORREA DA SILVA 4334_ESPELHADA ,,-30.23501,-51.079734
6751,,LUIZ CORREA DA SILVA 4333_ESPELHADA ,,-30.237688,-51.080832
4338,,VAREJAO 4339_ESPELHADA ,,-30.223291,-51.079108
4320,,VAREJAO 372 E E E F OSCAR COELHO DE SOUZA,,-30.220289,-51.097245
6750,,EDGAR PIRES DE CASTRO 4295_ESPELHADA ,,-30.215874,-51.104989
6749,,JAIME LINO DOS SANTOS FILHO 2537_ESPELHADA ,,-30.104477,-51.140046
6747,,JAIME LINO DOS SANTOS FILHO 2532_ESPELHADA ,,-30.107825,-51.140623
6746,,JAIME LINO DOS SANTOS FILHO 2530_ESPELHADA ,,-30.108684,-51.140766
6745,,JAIME LINO DOS SANTOS FILHO 2528_ESPELHADA ,,-30.109953,-51.140983
6748,,JAIME LINO DOS SANTOS FILHO 2534_ESPELHADA ,,-30.106371,-51.140355
6744,,LEONILDA FLORES RUBENS 2527_ESPELHADA ,,-30.109411,-51.142138
6743,,AFONSO LOURENCO MARIANTE 2494_ESPELHADA ,,-30.10791,-51.152929
6742,,BARCELLOS 2472_ESPELHADA ,,-30.089711,-51.179548
6741,,ALPES 2458_ESPELHADA ,,-30.096971,-51.179405
6740,,LUIZ OTAVIO 2429_ESPELHADA ,,-30.120002,-51.158753
6739,,GEDEON LEITE 2383_ESPELHADA ,,-30.14002,-51.174334
6738,,GEDEON LEITE 2382_ESPELHADA ,,-30.141035,-51.174931
6737,,GEDEON LEITE 2376_ESPELHADA ,,-30.144398,-51.175802
2380,,GEDEON LEITE 2375_ESPELHADA ,,-30.147036,-51.175337
6736,,JORGE PEREIRA NUNES 2374_ESPELHADA ,,-30.142844,-51.183548
6735,,JORGE PEREIRA NUNES 2372_ESPELHADA ,,-30.143613,-51.182752
6734,,JORGE PEREIRA NUNES 2371_ESPELHADA ,,-30.144549,-51.181386
6733,,JORGE PEREIRA NUNES 1177_ESPELHADA ,,-30.138985,-51.185262
6732,,JORGE PEREIRA NUNES 1175_ESPELHADA ,,-30.136609,-51.186404
6731,,JORGE PEREIRA NUNES 1171_ESPELHADA ,,-30.141018,-51.184728
6730,,MAURILIO FERREIRA 1164_ESPELHADA ,,-30.136754,-51.19395
6729,,CIRINO PRUNES 1060_ESPELHADA ,,-30.147208,-51.210347
6728,, 600_ESPELHADA ,,-29.992091,-51.273581
6727,,NOSSA SENHORA DA BOA VIAGEM 587_ESPELHADA ,,-30.022999,-51.254846
6726,,PRESIDENTE VARGAS 585_ESPELHADA ,,-30.02429,-51.2547
6725,,PRESIDENTE VARGAS 581_ESPELHADA ,,-30.027654,-51.253074
6724,,PRESIDENTE VARGAS 578_ESPELHADA ,,-30.025973,-51.253887
6723,,PRESIDENTE VARGAS 574_ESPELHADA ,,-30.019262,-51.258214
6722,,PRESIDENTE VARGAS 573_ESPELHADA ,,-30.020775,-51.257567
6721,,EDGAR PIRES DE CASTRO 386_ESPELHADA ,,-30.178475,-51.142918
6720,,EDGAR PIRES DE CASTRO 384_ESPELHADA ,,-30.174382,-51.146963
6719,,EDGAR PIRES DE CASTRO 371_ESPELHADA ,,-30.199706,-51.125271
6718,,VITORIA 367_ESPELHADA ,,-30.205836,-51.125386
6717,,EDGAR PIRES DE CASTRO 365_ESPELHADA ,,-30.198687,-51.126905
6716,,VITORIA 363_ESPELHADA ,,-30.207162,-51.127021
6715,,VITORIA 361_ESPELHADA ,,-30.20919,-51.12965
6713,,LAMI 342_ESPELHADA ,,-30.211096,-51.138568
6714,,EDGAR PIRES DE CASTRO 348_ESPELHADA ,,-30.182678,-51.14121
6712,,SCHNEIDER 322_ESPELHADA ,,-30.160662,-51.160901
6711,,SCHNEIDER 318_ESPELHADA ,,-30.161547,-51.164257
6710,,FRANCISCA DE OLIVEIRA VIEIRA 229_ESPELHADA ,,-30.190783,-51.16026
6708,,LAMI 207_ESPELHADA ,,-30.210957,-51.172778
6709,,FRANCISCA DE OLIVEIRA VIEIRA 228_ESPELHADA ,,-30.192337,-51.161849
6706,,LAMI 168_ESPELHADA ,,-30.216528,-51.121266
6707,,FRANCISCA DE OLIVEIRA VIEIRA 193_ESPELHADA ,,-30.206442,-51.176765
6705,,RETIRO DA PONTA GROSSA 132_ESPELHADA ,,-30.179959,-51.184113
6704,,CIRINO PRUNES 121_ESPELHADA ,,-30.147703,-51.212986
6703,,CIRINO PRUNES 120_ESPELHADA ,,-30.148165,-51.215063
6702,,SERRARIA 113_ESPELHADA ,,-30.168957,-51.213675
6701,,SERRARIA 109_ESPELHADA ,,-30.17635,-51.213971
6700,,GERALDA DOS SANTOS MOREIRA 17_ESPELHADA ,,-30.162664,-51.226473
6699,,RETIRO DA PONTA GROSSA 12_ESPELHADA ,,-30.184023,-51.219935
6698,,RETIRO DA PONTA GROSSA 10_ESPELHADA ,,-30.184718,-51.221191
6697,,RETIRO DA PONTA GROSSA 9_ESPELHADA ,,-30.185845,-51.223357
6696,,BEIRA RIO 2_ESPELHADA ,,-30.213092,-51.194512
3524,,PARQUE 60 ,,-30.012411,-51.210499
6053,,LUIZ CORREA DA SILVA DF 62 ,,-30.228921,-51.077379
6695,,DR JULIO TEIXEIRA 150 ,,-30.130369,-51.215288
3337,,BENNO MENTZ EF PÇA DOM PEDRO ,,-30.021204,-51.147184
1584,,CEL FERNANDO MACHADO 1160 ,,-30.034826,-51.226924
3311,,SATURNINO DE BRITO 1601 ,,-30.027571,-51.15062
4196,,ASSIS BRASIL 6250 ,,-29.99612,-51.130788
6445,,DONA SOFIA 113 ,,-30.06633,-51.228921
6694,,TRES MIL SETECENTOS SETENTA DOIS 42 ,,-30.084835,-51.131172
6693,,TRES MIL SETECENTOS SETENTA DOIS 196/210 ,,-30.085279,-51.129443
6692,,TRES MIL SETECENTOS SETENTA DOIS 394 ,,-30.08582,-51.127713
6691,,TRES MIL SETECENTOS SETENTA DOIS 550 ,,-30.086179,-51.126048
6690,,TRES MIL SETECENTOS QUARENTA OITO SN ,,-30.085089,-51.12582
6689,,DOIS RUA SANTA PAULA AL 88 ,,-30.08437,-51.124864
6688,,SANTA PAULA DF 140 ,,-30.083941,-51.123649
6687,,SANTA PAULA 25 ,,-30.082704,-51.12304
267,,JUCA BATISTA 5163 AFBRDE,,-30.162698,-51.183366
266,,JUCA BATISTA DF 5163 ASSOC FUNC DO BRDE,,-30.162687,-51.183282
5956,,JUCA BATISTA 4971 ,,-30.161276,-51.184884
5957,,JUCA BATISTA DF 4971 ,,-30.161251,-51.184772
3091,,DR JOAO SIMPLICIO A DE CARVALHO DF 685 ,,-30.019372,-51.158943
3092,,DR JOAO SIMPLICIO A DE CARVALHO 755 ,,-30.01938,-51.159873
4120,,MOREIRA DA SILVA DF 280 ,,-29.992229,-51.135736
6686,,GRECIA DF 34 PÇA DARCY VIGNOLI,,-30.013916,-51.168542
3697,,AMYNTHAS JACQUES DE MORAES 59 ,,-29.988929,-51.190091
4644,,MARTIM FELIX BERTA 3300 ,,-30.036906,-51.113849
4805,,EDU LAS-CASAS 167 ,,-30.008491,-51.109652
4662,,DELEGADO ELY CORREA PRADO 327 ,,-30.038389,-51.104276
825,,OTTO NIEMEYER 2592 ,,-30.10282,-51.233488
5863,,OTTO NIEMEYER 1313 ,,-30.107127,-51.245845
2672,,TEN ALPOIM 710 ,,-30.067334,-51.174514
3675,,NOVE DE JUNHO DF 833 ,,-30.06956,-51.161582
6439,,PADRE TODESCO DF 60 ,,-30.061707,-51.160039
562,,WENCESLAU ESCOBAR 1275 ,,-30.1013,-51.24984
6610,,TAQUARY 287/DF 220 ,,-30.077217,-51.241869
4890,,BERNARDINO SILVEIRA PASTORIZA 260 ,,-29.991447,-51.106209
4060,,ASSIS BRASIL 4737 ,,-30.006697,-51.14011
6659,,JOAO ANTONIO SILVEIRA 3155 ,,-30.144629,-51.128522
1901,,GEN JONATHAS BORGES FORTES DF 339 ESCOLA,,-30.076266,-51.193215
1934,,GEN JONATHAS BORGES FORTES DF 577 ,,-30.075812,-51.190811
1939,,GEN JONATHAS BORGES FORTES DF 809 CONFECCOES E BAZAR ARCO IRIS,,-30.075365,-51.188469
1966,,MARIA LUIZA PERES DF 265 ,,-30.073807,-51.184926
2621,,MARIA LUIZA PERES DF 409 ,,-30.074499,-51.18361
2462,,PROF OSCAR PEREIRA 6100 ,,-30.094295,-51.178195
3806,,PLINIO BRASIL MILANO 2510 ,,-30.012017,-51.17105
6685,,TRES MIL QUARENTA LOT CAMPOS CONDE SN PO NA RUA D,,-30.026158,-51.130094
